benchmark,model,subject,total,correct,valid,ambiguous,accuracy_all_pct,accuracy_valid_pct,historical_yes,historical_yes_pct
ChemBench4K,Qwen3-0.6B,Product_Prediction_benchmark,300,118,300,0,39.333333333333336,39.333333333333336,118,39.333333333333336
ChemBench4K,Qwen3-0.6B,Property_Prediction_benchmark,709,107,709,0,15.091678420310297,15.091678420310297,107,15.091678420310297
ChemBench4K,Qwen3-0.6B,Retrosynthesis_benchmark,300,64,300,0,21.333333333333332,21.333333333333332,64,21.333333333333332
ChemBench4K,Qwen3-0.6B,Solvent_Prediction_benchmark,300,45,300,0,15.0,15.0,45,15.0
ChemBench4K,Qwen3-0.6B,Temperature_Prediction_benchmark,202,18,202,0,8.910891089108912,8.910891089108912,18,8.910891089108912
ChemBench4K,Qwen3-0.6B,Yield_Prediction_benchmark,300,60,300,0,20.0,20.0,60,20.0
ChemBench4K,Qwen3-1.7B,Caption2mol_benchmark,800,222,800,0,27.75,27.75,222,27.75
ChemBench4K,Qwen3-1.7B,Mol2caption_benchmark,299,149,299,0,49.83277591973244,49.83277591973244,149,49.83277591973244
ChemBench4K,Qwen3-1.7B,Name_Conversion_benchmark,799,372,798,1,46.55819774718398,46.61654135338346,373,46.68335419274093
ChemBench4K,Qwen3-1.7B,Product_Prediction_benchmark,300,101,300,0,33.666666666666664,33.666666666666664,101,33.666666666666664
ChemBench4K,Qwen3-1.7B,Property_Prediction_benchmark,709,104,708,1,14.668547249647391,14.689265536723164,105,14.809590973201692
ChemBench4K,Qwen3-1.7B,Retrosynthesis_benchmark,300,93,300,0,31.0,31.0,93,31.0
ChemBench4K,Qwen3-1.7B,Solvent_Prediction_benchmark,300,60,300,0,20.0,20.0,60,20.0
ChemBench4K,Qwen3-1.7B,Temperature_Prediction_benchmark,202,36,202,0,17.821782178217823,17.821782178217823,36,17.821782178217823
ChemBench4K,Qwen3-1.7B,Yield_Prediction_benchmark,300,63,300,0,21.0,21.0,63,21.0
ChemBench4K,Qwen3-4B,Caption2mol_benchmark,800,274,800,0,34.25,34.25,274,34.25
ChemBench4K,Qwen3-4B,Mol2caption_benchmark,299,233,299,0,77.92642140468227,77.92642140468227,233,77.92642140468227
ChemBench4K,Qwen3-4B,Name_Conversion_benchmark,799,474,799,0,59.32415519399249,59.32415519399249,474,59.32415519399249
ChemBench4K,Qwen3-4B,Product_Prediction_benchmark,300,152,300,0,50.666666666666664,50.666666666666664,152,50.666666666666664
ChemBench4K,Qwen3-4B,Property_Prediction_benchmark,709,349,708,1,49.22425952045134,49.293785310734464,350,49.365303244005645
ChemBench4K,Qwen3-4B,Retrosynthesis_benchmark,300,124,300,0,41.333333333333336,41.333333333333336,124,41.333333333333336
ChemBench4K,Qwen3-4B,Solvent_Prediction_benchmark,300,82,300,0,27.333333333333332,27.333333333333332,82,27.333333333333332
ChemBench4K,Qwen3-4B,Temperature_Prediction_benchmark,202,68,202,0,33.663366336633665,33.663366336633665,68,33.663366336633665
